,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
12308,gas_tax,J.D. Ford beats conservative stalwart Mike Delph,"Cook, Tony","Palladium - Item; Richmond, Ind.","Nov 8, 2018","Richmond, Ind.",A.5,News,https://www.proquest.com/newspapers/j-d-ford-beats-conservative-stalwart-mike-delph/docview/2130794345/se-2?accountid=13360,IN
12322,gas_tax,State of the State address like vanilla,,"Palladium - Item; Richmond, Ind.","Jan 20, 2017","Richmond, Ind.",A.7,Opinion,https://www.proquest.com/newspapers/state-address-like-vanilla/docview/1860121670/se-2?accountid=13360,IN
12418,gas_tax,Salt best alternative city has,"Mermel, Marcy","Indianapolis Star; Indianapolis, Ind.","Jan 23, 1992","Indianapolis, Ind.",,NEWS,https://www.proquest.com/newspapers/salt-best-alternative-city-has/docview/240065897/se-2?accountid=13360,IN
12446,gas_tax,Ford win makes history in Indiana: Democrat is state's first openly gay lawmaker,"Cook, Tony","Indianapolis Star; Indianapolis, Ind.","Nov 8, 2018","Indianapolis, Ind.",A.1,News,https://www.proquest.com/newspapers/ford-win-makes-history-indiana/docview/2130793187/se-2?accountid=13360,IN
12454,gas_tax,Public feels left out of INDOT party,,"Indianapolis Star; Indianapolis, Ind.","May 13, 2011","Indianapolis, Ind.",,Editorial,https://www.proquest.com/newspapers/public-feels-left-out-indot-party/docview/866402319/se-2?accountid=13360,IN
12563,gas_tax,Bill Watch; An ongoing report from the Indiana General Assembly,,"Indianapolis Star; Indianapolis, Ind.","Feb 6, 2002","Indianapolis, Ind.",,CITY STATE,https://www.proquest.com/newspapers/bill-watch-ongoing-report-indiana-general/docview/892527565/se-2?accountid=13360,IN
12604,gas_tax,State pressing for fair shake from stimulus,"Ruthhart, Bill","Indianapolis Star; Indianapolis, Ind.","Dec 15, 2008","Indianapolis, Ind.",,NEWS,https://www.proquest.com/newspapers/state-pressing-fair-shake-stimulus/docview/241042346/se-2?accountid=13360,IN
12642,gas_tax,"Demos, GOP debate Engler's record on taxes: [Michigan Edition]","Guest, Greta","South Bend Tribune; South Bend, Ind.","Apr 5, 1998","South Bend, Ind.",,Local/Area,https://www.proquest.com/newspapers/demos-gop-debate-englers-record-on-taxes/docview/416890060/se-2?accountid=13360,IN
12741,gas_tax,Gov. Holcomb's State of State address a lot like vanilla,,"Star Press; Muncie, Ind.","Jan 19, 2017","Muncie, Ind.",A.3,News,https://www.proquest.com/newspapers/gov-holcombs-state-address-lot-like-vanilla/docview/1859808216/se-2?accountid=13360,IN
12830,gas_tax,- LETTERS TO THE EDITOR,,"Journal & Courier; Lafayette, Ind.","Jun 26, 2004","Lafayette, Ind.",,Opinions,https://www.proquest.com/newspapers/letters-editor/docview/383063236/se-2?accountid=13360,IN
12835,gas_tax,In touch,,"Indianapolis Star; Indianapolis, Ind.","Jun 13, 2004","Indianapolis, Ind.",,EDITORIAL,https://www.proquest.com/newspapers/touch/docview/240682595/se-2?accountid=13360,IN
12879,gas_tax,D.O.A. tries to revive its history,"Allan, Marc","Indianapolis Star; Indianapolis, Ind.","May 14, 1996","Indianapolis, Ind.",,EXTRA,https://www.proquest.com/newspapers/d-o-tries-revive-history/docview/240166831/se-2?accountid=13360,IN
12919,gas_tax,Applauds the MPO...[Derived headline],,"The Herald - Times; Bloomington, Ind.","Jun 7, 2011","Bloomington, Ind.",A.6,,https://www.proquest.com/newspapers/applauds-mpo-derived-headline/docview/871247660/se-2?accountid=13360,IN
12925,gas_tax,Abortion ban bill threatens to deepen GOP rift,"Cook, Tony; Lange, Kaitlin L","Palladium - Item; Richmond, Ind.","Jan 4, 2018","Richmond, Ind.",A.5,News,https://www.proquest.com/newspapers/abortion-ban-bill-threatens-deepen-gop-rift/docview/1984037886/se-2?accountid=13360,IN
12926,gas_tax,Abortion ban bill threatens to deepen GOP rift,"Cook, Tony; Lange, Kaitlin L","Star Press; Muncie, Ind.","Jan 4, 2018","Muncie, Ind.",A.5,News,https://www.proquest.com/newspapers/abortion-ban-bill-threatens-deepen-gop-rift/docview/1984035388/se-2?accountid=13360,IN
12927,gas_tax,Bill to ban all abortions may deepen rift in GOP: Opponents' frustration has led to personal attacks on Republican leaders,"Cook, Tony; Lange, Kaitlin L","Journal & Courier; Lafayette, Ind.","Jan 4, 2018","Lafayette, Ind.",A.2,News,https://www.proquest.com/newspapers/bill-ban-all-abortions-may-deepen-rift-gop/docview/1984034775/se-2?accountid=13360,IN
